level,source,target,journal
citation 16,Environmental Science & Technology,ENVIRONMENTAL HEALTH PERSPECTIVES,Environmental Health Perspectives
citation 16,Environmental Science & Technology,CHEMICAL RESEARCH IN TOXICOLOGY,Chemical Research In Toxicology
citation 16,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 16,Environmental Science & Technology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 16,Environmental Science & Technology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 16,Environmental Science & Technology,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 16,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 16,Environmental Science & Technology,ENVIRONMENTAL RESEARCH,Environmental Research
citation 16,Environmental Science & Technology,PLOS ONE,Plos One
citation 16,Environmental Science & Technology,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,Journal Of Agricultural And Food Chemistry
citation 16,Environmental Science & Technology,CHEMOSPHERE,Chemosphere
citation 16,Environmental Science & Technology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 16,Environmental Science & Technology,ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS,Environmental Science & Technology Letters
citation 16,Environmental Science & Technology,POLAR BIOLOGY,Polar Biology
citation 16,Environmental Science & Technology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 16,Environmental Science & Technology,CHEMOSPHERE,Chemosphere
citation 16,Environmental Science & Technology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 16,Environmental Science & Technology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 17,Science Of The Total Environment,ECOLOGICAL INDICATORS,Ecological Indicators
citation 17,Science Of The Total Environment,JOURNAL OF CHROMATOGRAPHY A,Journal Of Chromatography A
citation 17,Science Of The Total Environment,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 17,Science Of The Total Environment,WATER,Water
citation 17,Science Of The Total Environment,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 17,Science Of The Total Environment,ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS,Environmental Science-Processes & Impacts
citation 17,Science Of The Total Environment,ENVIRONMENTAL SCIENCE-WATER RESEARCH & TECHNOLOGY,Environmental Science-Water Research & Technology
citation 17,Science Of The Total Environment,ECOTOXICOLOGY,Ecotoxicology
citation 17,Science Of The Total Environment,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 17,Science Of The Total Environment,PLOS ONE,Plos One
citation 17,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 17,Science Of The Total Environment,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 17,Science Of The Total Environment,JOURNAL OF ENVIRONMENTAL MANAGEMENT,Journal Of Environmental Management
citation 17,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 17,Science Of The Total Environment,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 17,Science Of The Total Environment,ANALYTICA CHIMICA ACTA,Analytica Chimica Acta
citation 17,Science Of The Total Environment,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Proceedings Of The Royal Society B-Biological Sciences
citation 17,Science Of The Total Environment,ENVIRONMENTAL SCIENCES EUROPE,Environmental Sciences Europe
citation 17,Science Of The Total Environment,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,Canadian Journal Of Fisheries And Aquatic Sciences
citation 17,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 17,Science Of The Total Environment,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 17,Science Of The Total Environment,SCIENTIFIC REPORTS,Scientific Reports
citation 18,Aquatic Toxicology,METABOLITES,Metabolites
citation 18,Aquatic Toxicology,MOLECULAR OMICS,Molecular Omics
citation 18,Aquatic Toxicology,APPLIED SCIENCES-BASEL,Applied Sciences-Basel
citation 18,Aquatic Toxicology,REVIEWS IN AQUACULTURE,Reviews In Aquaculture
citation 18,Aquatic Toxicology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 18,Aquatic Toxicology,CHEMOSPHERE,Chemosphere
citation 18,Aquatic Toxicology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 18,Aquatic Toxicology,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,Journal Of Exposure Science And Environmental Epidemiology
citation 18,Aquatic Toxicology,PLOS ONE,Plos One
citation 18,Aquatic Toxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 18,Aquatic Toxicology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 18,Aquatic Toxicology,EXCLI JOURNAL,Excli Journal
citation 18,Aquatic Toxicology,ENVIRONMENTAL RESEARCH,Environmental Research
citation 18,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 18,Aquatic Toxicology,PLOS ONE,Plos One
citation 18,Aquatic Toxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 18,Aquatic Toxicology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 18,Aquatic Toxicology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 18,Aquatic Toxicology,POLAR BIOLOGY,Polar Biology
citation 18,Aquatic Toxicology,TERATOGENICITY TESTING: METHODS AND PROTOCOLS,Teratogenicity Testing: Methods And Protocols
citation 18,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 18,Aquatic Toxicology,CHEMOSPHERE,Chemosphere
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,PEERJ,Peerj
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,JOURNAL OF FUNCTIONAL FOODS,Journal Of Functional Foods
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,Journal Of Comparative Physiology A-Neuroethology Sensory Neural And Behavioral Physiology
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,BIOLOGY LETTERS,Biology Letters
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMS AND ENVIRONMENTAL PHYSIOLOGY,Journal Of Comparative Physiology B-Biochemical Systems And Environmental Physiology
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,ENVIRONMENT INTERNATIONAL,Environment International
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,MARINE ENVIRONMENTAL RESEARCH,Marine Environmental Research
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,PLOS ONE,Plos One
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,American Journal Of Physiology-Regulatory Integrative And Comparative Physiology
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,JOURNAL OF EXPERIMENTAL BIOLOGY,Journal Of Experimental Biology
citation 19,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology
citation 2,Environmental Science & Technology,JOURNAL OF ENVIRONMENTAL MANAGEMENT,Journal Of Environmental Management
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,ECOLOGICAL INDICATORS,Ecological Indicators
citation 2,Environmental Science & Technology,CHEMOSPHERE,Chemosphere
citation 2,Environmental Science & Technology,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 2,Environmental Science & Technology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 2,Environmental Science & Technology,HELIYON,Heliyon
citation 2,Environmental Science & Technology,ENVIRONMENTAL SCIENCES EUROPE,Environmental Sciences Europe
citation 2,Environmental Science & Technology,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology
citation 2,Environmental Science & Technology,ANALYTICAL METHODS,Analytical Methods
citation 2,Environmental Science & Technology,JOURNAL OF APPLIED TOXICOLOGY,Journal Of Applied Toxicology
citation 2,Environmental Science & Technology,CHEMICAL ENGINEERING COMMUNICATIONS,Chemical Engineering Communications
citation 2,Environmental Science & Technology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 2,Environmental Science & Technology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 2,Environmental Science & Technology,CHEMOSPHERE,Chemosphere
citation 2,Environmental Science & Technology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 2,Environmental Science & Technology,CHEMOSPHERE,Chemosphere
citation 2,Environmental Science & Technology,WATER SCIENCE AND TECHNOLOGY,Water Science And Technology
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,International Journal Of Environmental Health Research
citation 2,Environmental Science & Technology,CHEMOSPHERE,Chemosphere
citation 2,Environmental Science & Technology,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 2,Environmental Science & Technology,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,Environmental Toxicology And Pharmacology
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 2,Environmental Science & Technology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 2,Environmental Science & Technology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 2,Environmental Science & Technology,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 2,Environmental Science & Technology,CHEMOSPHERE,Chemosphere
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,JOURNAL OF SEPARATION SCIENCE,Journal Of Separation Science
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 2,Environmental Science & Technology,HEALTH CARE AND ENVIRONMENTAL CONTAMINATION,Health Care And Environmental Contamination
citation 2,Environmental Science & Technology,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,Journal Of Toxicology And Environmental Health-Part B-Critical Reviews
citation 2,Environmental Science & Technology,MICROCHEMICAL JOURNAL,Microchemical Journal
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,SCIENTIFIC REPORTS,Scientific Reports
citation 2,Environmental Science & Technology,CHEMOSPHERE,Chemosphere
citation 2,Environmental Science & Technology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 2,Environmental Science & Technology,JOURNAL OF CHROMATOGRAPHY A,Journal Of Chromatography A
citation 2,Environmental Science & Technology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 2,Environmental Science & Technology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 2,Environmental Science & Technology,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,Analytical And Bioanalytical Chemistry
citation 2,Environmental Science & Technology,CHEMOSPHERE,Chemosphere
citation 2,Environmental Science & Technology,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 2,Environmental Science & Technology,MICROPOROUS AND MESOPOROUS MATERIALS,Microporous And Mesoporous Materials
citation 2,Environmental Science & Technology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 2,Environmental Science & Technology,CHEMOSPHERE,Chemosphere
citation 2,Environmental Science & Technology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 2,Environmental Science & Technology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 2,Environmental Science & Technology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 2,Environmental Science & Technology,ENVIRONMENT INTERNATIONAL,Environment International
citation 2,Environmental Science & Technology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 2,Environmental Science & Technology,CHEMOSPHERE,Chemosphere
citation 2,Environmental Science & Technology,CHEMOSPHERE,Chemosphere
citation 2,Environmental Science & Technology,SCIENTIFIC REPORTS,Scientific Reports
citation 2,Environmental Science & Technology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 2,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 2,Environmental Science & Technology,CHEMOSPHERE,Chemosphere
citation 2,Environmental Science & Technology,ENVIRONMENTAL CHEMISTRY,Environmental Chemistry
citation 20,Frontiers In Neuroscience,EUROPEAN JOURNAL OF NEUROSCIENCE,European Journal Of Neuroscience
citation 20,Frontiers In Neuroscience,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 20,Frontiers In Neuroscience,PLOS ONE,Plos One
citation 20,Frontiers In Neuroscience,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,Environmental Toxicology And Pharmacology
citation 20,Frontiers In Neuroscience,JOURNAL OF NEUROSCIENCE RESEARCH,Journal Of Neuroscience Research
citation 20,Frontiers In Neuroscience,NEUROTOXICOLOGY AND TERATOLOGY,Neurotoxicology And Teratology
citation 20,Frontiers In Neuroscience,ECOTOXICOLOGY,Ecotoxicology
citation 20,Frontiers In Neuroscience,JOURNAL OF EXPERIMENTAL BIOLOGY,Journal Of Experimental Biology
citation 20,Frontiers In Neuroscience,DOMESTIC ANIMAL ENDOCRINOLOGY,Domestic Animal Endocrinology
citation 20,Frontiers In Neuroscience,NEUROPHARMACOLOGY,Neuropharmacology
citation 20,Frontiers In Neuroscience,DISEASE MODELS & MECHANISMS,Disease Models & Mechanisms
citation 20,Frontiers In Neuroscience,PLOS ONE,Plos One
citation 20,Frontiers In Neuroscience,PEERJ,Peerj
citation 20,Frontiers In Neuroscience,PHARMACOLOGICAL RESEARCH,Pharmacological Research
citation 20,Frontiers In Neuroscience,PLOS ONE,Plos One
citation 20,Frontiers In Neuroscience,BEHAVIOURAL PROCESSES,Behavioural Processes
citation 20,Frontiers In Neuroscience,AGGRESSIVE BEHAVIOR,Aggressive Behavior
citation 20,Frontiers In Neuroscience,NEUROSCIENCE LETTERS,Neuroscience Letters
citation 20,Frontiers In Neuroscience,GENES BRAIN AND BEHAVIOR,Genes Brain And Behavior
citation 20,Frontiers In Neuroscience,CHEMOSPHERE,Chemosphere
citation 20,Frontiers In Neuroscience,CHEMOSPHERE,Chemosphere
citation 21,Chemical Engineering Journal,APPLIED CATALYSIS B-ENVIRONMENTAL,Applied Catalysis B-Environmental
citation 21,Chemical Engineering Journal,JOURNAL OF ENVIRONMENTAL ENGINEERING,Journal Of Environmental Engineering
citation 21,Chemical Engineering Journal,WATER RESEARCH,Water Research
citation 21,Chemical Engineering Journal,CHEMICAL ENGINEERING JOURNAL,Chemical Engineering Journal
citation 21,Chemical Engineering Journal,JOURNAL OF ENVIRONMENTAL MANAGEMENT,Journal Of Environmental Management
citation 21,Chemical Engineering Journal,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 21,Chemical Engineering Journal,CHEMPHOTOCHEM,Chemphotochem
citation 21,Chemical Engineering Journal,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 21,Chemical Engineering Journal,NANOMATERIALS,Nanomaterials
citation 21,Chemical Engineering Journal,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 21,Chemical Engineering Journal,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 21,Chemical Engineering Journal,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 21,Chemical Engineering Journal,APPLIED CATALYSIS B-ENVIRONMENTAL,Applied Catalysis B-Environmental
citation 21,Chemical Engineering Journal,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 21,Chemical Engineering Journal,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 21,Chemical Engineering Journal,CHEMICAL ENGINEERING JOURNAL,Chemical Engineering Journal
citation 21,Chemical Engineering Journal,ENVIRONMENTAL ENGINEERING SCIENCE,Environmental Engineering Science
citation 21,Chemical Engineering Journal,APPLIED CATALYSIS B-ENVIRONMENTAL,Applied Catalysis B-Environmental
citation 21,Chemical Engineering Journal,BIOMOLECULES,Biomolecules
citation 21,Chemical Engineering Journal,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,Journal Of Photochemistry And Photobiology A-Chemistry
citation 21,Chemical Engineering Journal,CHEMICAL ENGINEERING JOURNAL,Chemical Engineering Journal
citation 22,Environmental Science & Technology,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 22,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 22,Environmental Science & Technology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 22,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 22,Environmental Science & Technology,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,International Journal Of Environmental Research And Public Health
citation 22,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 22,Environmental Science & Technology,ENVIRONMENTAL SCIENCES EUROPE,Environmental Sciences Europe
citation 22,Environmental Science & Technology,ANALYTICAL CHEMISTRY,Analytical Chemistry
citation 22,Environmental Science & Technology,MARINE POLLUTION BULLETIN,Marine Pollution Bulletin
citation 22,Environmental Science & Technology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 22,Environmental Science & Technology,BIOLOGY OPEN,Biology Open
citation 22,Environmental Science & Technology,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 22,Environmental Science & Technology,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 22,Environmental Science & Technology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 22,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 22,Environmental Science & Technology,PHARMACEUTICALS IN THE ENVIRONMENT,Pharmaceuticals In The Environment
citation 22,Environmental Science & Technology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 22,Environmental Science & Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 22,Environmental Science & Technology,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,Environmental Toxicology And Pharmacology
citation 22,Environmental Science & Technology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 22,Environmental Science & Technology,WATER ENVIRONMENT RESEARCH,Water Environment Research
citation 23,Ecotoxicology,PLOS ONE,Plos One
citation 23,Ecotoxicology,FRONTIERS IN ECOLOGY AND EVOLUTION,Frontiers In Ecology And Evolution
citation 23,Ecotoxicology,BIOLOGY LETTERS,Biology Letters
citation 23,Ecotoxicology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 23,Ecotoxicology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 23,Ecotoxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 23,Ecotoxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 23,Ecotoxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 23,Ecotoxicology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 23,Ecotoxicology,AGGRESSIVE BEHAVIOR,Aggressive Behavior
citation 23,Ecotoxicology,SCIENTIFIC REPORTS,Scientific Reports
citation 23,Ecotoxicology,PLOS ONE,Plos One
citation 23,Ecotoxicology,ECOTOXICOLOGY,Ecotoxicology
citation 23,Ecotoxicology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 23,Ecotoxicology,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology
citation 23,Ecotoxicology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 23,Ecotoxicology,PHYSIOLOGY & BEHAVIOR,Physiology & Behavior
citation 23,Ecotoxicology,TOXICS,Toxics
citation 23,Ecotoxicology,JOURNAL OF EXPERIMENTAL BIOLOGY,Journal Of Experimental Biology
citation 23,Ecotoxicology,FRONTIERS IN ENVIRONMENTAL SCIENCE,Frontiers In Environmental Science
citation 24,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 24,Science Of The Total Environment,CHEMOSPHERE,Chemosphere
citation 24,Science Of The Total Environment,HARMFUL ALGAE,Harmful Algae
citation 24,Science Of The Total Environment,CHEMICAL RESEARCH IN TOXICOLOGY,Chemical Research In Toxicology
citation 24,Science Of The Total Environment,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 24,Science Of The Total Environment,ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS,Environmental Science-Processes & Impacts
citation 24,Science Of The Total Environment,CHEMOSPHERE,Chemosphere
citation 24,Science Of The Total Environment,DATA IN BRIEF,Data In Brief
citation 24,Science Of The Total Environment,ENVIRONMENTAL SCIENCES EUROPE,Environmental Sciences Europe
citation 24,Science Of The Total Environment,INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT,Integrated Environmental Assessment And Management
citation 24,Science Of The Total Environment,PHYSIOLOGY & BEHAVIOR,Physiology & Behavior
citation 24,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 24,Science Of The Total Environment,BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,Bulletin Of Environmental Contamination And Toxicology
citation 24,Science Of The Total Environment,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 24,Science Of The Total Environment,GREEN CHEMISTRY,Green Chemistry
citation 24,Science Of The Total Environment,NEUROTOXICOLOGY AND TERATOLOGY,Neurotoxicology And Teratology
citation 24,Science Of The Total Environment,MECHANISMS OF DEVELOPMENT,Mechanisms Of Development
citation 24,Science Of The Total Environment,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 24,Science Of The Total Environment,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,Jove-Journal Of Visualized Experiments
citation 25,Conservation Physiology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 25,Conservation Physiology,JOURNAL OF CLEANER PRODUCTION,Journal Of Cleaner Production
citation 25,Conservation Physiology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 25,Conservation Physiology,ENVIRONMENTAL POLLUTION,Environmental Pollution
